GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
junit5-mps-uma,org.mps.ronqi2,RonQI2,30,27,8,6,7,7,6,6,2,3
junit5-mps-uma,org.mps.ronqi2,RonQI2Silver,86,22,8,0,19,7,8,1,4,1
junit5-mps-uma,org.mps.dispositivo,Dispositivo,3,0,0,0,1,0,1,0,1,0
junit5-mps-uma,org.mps.dispositivo,DispositivoSilver,25,0,0,0,11,0,8,0,8,0
